messageKey,,en,de,es,fr,pt,ru,zh_CN
material.data.mineralsurvey,Mineral Survey,Mineral Survey,Mineralienübersicht,Estudio mineral,Rapport de prospection,Pesquisa mineral,Результаты геологической разведки,Mineral Survey
material.data.mininganalytics,Mining Analytics,Mining Analytics,Abbau-Analytik,Análisis de minería,Analyses minières,Análise de mineração,Анализ горнодобывающей промышленности,Mining Analytics
material.data.multimediaentertainment,Multimedia Entertainment,Multimedia Entertainment,Multimedia-Unterhaltung,Entretenimiento multimedia,Médiathèque,Entretenimento multimídia,Мультимедийные развлечения,Multimedia Entertainment
material.data.networkaccesshistory,Network Access History,Network Access History,Netzwerkzugriffshistorie,Historial de acceso a la red,Historique réseau,Histórico de acesso à rede,История сетевой активности,Network Access History
material.data.networksecurityprotocols,Network Security Protocols,Network Security Protocols,Netzwerksicherheitsprotokolle,Protocolos de seguridad de red,Protocoles de sécurité réseau,Protocolos de segurança de rede,Протоколы безопасности сети,Network Security Protocols
material.data.nextofkinrecords,Next of Kin Records,Next of Kin Records,Angehörigen-Aufzeichnungen,Registros familiares,Liste de proches,Registros familiares,Сведения о ближайших родственниках,Next of Kin Records
material.data.nocdata,NOC Data,NOC Data,Geheimoperation-Daten,Datos del AEE,Données d’agent clandestin,Dados Operacionais sigilosos,Данные по тайным агентам,NOC Data
material.data.operationalmanual,Operational Manual,Operational Manual,Bedienungsanleitung,Manual de operaciones,Mode d’emploi,Manual operacional,Руководство по эксплуатации,Operational Manual
material.data.opinionpolls,Opinion Polls,Opinion Polls,Umfrageergebnisse,Sondeos de opinión,Sondages,Pesquisas de opinião,Опросы общественного мнения,Opinion Polls
material.data.patienthistory,Patient History,Patient History,Patientenhistorie,Historial clínico,Antécédents médicaux,Histórico de paciente,История болезни,Patient History
material.data.patrolroutes,Patrol Routes,Patrol Routes,Patrouillenrouten,Rutas de patrulla,Itinéraires de patrouille,Rotas de patrulhamento,Маршруты патрулирования,Patrol Routes
material.data.payrollinformation,Payroll Information,Payroll Information,Gehaltsinformationen,Información salarial,Informations salariales,Informações de folha de pagamento,Платежная ведомость,Payroll Information
material.data.personallogs,Personal Logs,Personal Logs,Persönliche Logs,Registros personales,Journaux personnels,Registros pessoais,Личные дневники,Personal Logs
material.data.pharmaceuticalpatents,Pharmaceutical Patents,Pharmaceutical Patents,Pharmazeutische Patente,Patentes farmacéuticas,Brevets pharmaceutiques,Patentes farmacêuticas,Фармацевтические патенты,Pharmaceutical Patents
material.data.photoalbums,Photo Albums,Photo Albums,Fotoalben,Álbumes de fotos,Albums photo,Álbuns de fotografia,Фотоальбомы,Photo Albums
material.data.plantgrowthcharts,Plant Growth Charts,Plant Growth Charts,Diagramme zum Pflanzenwachstum,Gráficos de crecimiento de plantas,Courbes de croissance végétale,Gráficos de crescimento de plantas,График роста растений,Plant Growth Charts
material.data.politicalaffiliations,Political Affiliations,Political Affiliations,Politische Beziehungen,Afiliaciones políticas,Affiliations politiques,Afiliações políticas,Политическая ориентация,Political Affiliations
material.data.prisonerlogs,Prisoner Logs,Prisoner Logs,Gefangenen-Logs,Registros de prisioneros,Dossiers pénitentiaires,Registros de prisioneiros,Списки заключенных,Prisoner Logs
material.data.productionreports,Production Reports,Production Reports,Produktionsberichte,Informes de producción,Rapports de production,Relatórios de produção,Отчеты о производстве,Production Reports
material.data.productionschedule,Production Schedule,Production Schedule,Produktionszeitplan,Programa de producción,Planning de production,Cronograma de produção,Производственный график,Production Schedule
material.data.propaganda,Propaganda,Propaganda,Propaganda,Propaganda,Propagande,Propaganda,Пропаганда,Propaganda
material.data.purchaserecords,Purchase Records,Purchase Records,Kaufaufzeichnungen,Registros de compra,Registre d’acquisitions,Registros de compras,Списки покупок,Purchase Records
material.data.purchaserequests,Purchase Requests,Purchase Requests,Kaufanfragen,Solicitudes de compra,Demandes d’achats,Pedidos de compra,Запросы на покупку,Purchase Requests
material.data.radioactivitydata,Radioactivity Data,Radioactivity Data,Daten zur Radioaktivität,Datos de radioactividad,Relevés de radioactivité,Dados sobre radioatividade,Информация о радиоактивности,Radioactivity Data
material.data.reactoroutputreview,Reactor Output Review,Reactor Output Review,Evaluierung der Reaktorleistung,Informe de capacidad del reactor,Évaluation énergétique,Análise de produção do reator,Оценка выходной мощности реактора,Reactor Output Review
material.data.recyclinglogs,Recycling Logs,Recycling Logs,Recycling-Logs,Registros de reciclaje,Journaux de recyclage,Registros de reciclagem,Журнал утилизации отходов,Recycling Logs
material.data.residentialdirectory,Residential Directory,Residential Directory,Einwohnerverzeichnis,Directorio residencial,Annuaire résidentiel,Listagem residencial,Адресная книга,Residential Directory
material.data.riskassessments,Risk Assessments,Risk Assessments,Gefährdungsbeurteilungen,Valoración de riesgos,Évaluation des risques,Avaliações de risco,Оценка рисков,Risk Assessments
material.data.salesrecords,Sales Records,Sales Records,Verkaufszahlen,Registros de ventas,Historique des ventes,Registros de vendas,Отчеты о продажах,Sales Records
material.data.securityexpenses,Security Expenses,Security Expenses,Aufwendungen für Sicherheit,Gastos de seguridad,Dépenses de sécurité,Despesas com segurança,Расходы на охрану,Security Expenses
material.data.seedgeneaology,Seed Geneaology,Seed Geneaology,Saatgut-Geneaologie,Genealogía de simientes,Patrimoine génétique de semences,Genealogia de sementes,Генеалогия семенного материала,Seed Geneaology
material.data.settlementassaultplans,Settlement Assault Plans,Settlement Assault Plans,Siedlungsangriffspläne,Planes de ataque del asentamiento,Plans d’assaut d’une installation,Planos de ataque a assentamento,Планы атак на поселение,Settlement Assault Plans
material.data.settlementdefenceplans,Settlement Defence Plans,Settlement Defence Plans,Siedlungsverteidigungspläne,Planes de defensa del asentamiento,Plans de défense d’une installation,Planos de defesa do assentamento,Планы обороны поселения,Settlement Defence Plans
material.data.shareholderinformation,Shareholder Information,Shareholder Information,Aktionärsinformationen,Información de accionistas,Actionnariat,Informações sobre acionistas,Информация об акционерах,Shareholder Information
material.data.slushfundlogs,Slush Fund Logs,Slush Fund Logs,Schmiergeld-Logs,Registros de fondos de reptiles,Caisse noire,Registros de caixa dois,Журналы подставного фонда,Slush Fund Logs
material.data.smearcampaignplans,Smear Campaign Plans,Smear Campaign Plans,Pläne für Verleumdungskampagne,Planes de campañas de desprestigio,Campagne de calomnie,Planos de campanha de difamação,Планы кампании по дискредитации,Smear Campaign Plans
material.data.spectralanalysisdata,Spectral Analysis Data,Spectral Analysis Data,Spektralanalyse-Daten,Datos de análisis de espectro,Données d’analyse spectrale,Dados de análise de espectro,Результаты спектрального анализа,Spectral Analysis Data
material.data.spyware,Spyware,Spyware,Spyware,Software espía,Programme-espion,Spyware,Шпионские программы,Spyware
material.data.stellaractivitylogs,Stellar Activity Logs,Stellar Activity Logs,Sternenaktivitäts-Logs,Registros de actividad estelar,Journaux d’activité stellaire,Registros de atividade estelar,Журналы звездной активности,Stellar Activity Logs
material.data.surveilleancelogs,Surveillance Logs,Surveillance Logs,Überwachungs-Logs,Registros de vigilancia,Journaux de surveillance,Registros de vigilância,Журналы наблюдения,Surveillance Logs
material.data.tacticalplans,Tactical Plans,Tactical Plans,Taktikpläne,Planes tácticos,Plans stratégiques,Planos táticos,Тактические планы,Tactical Plans
material.data.taxrecords,Tax Records,Tax Records,Steuerunterlagen,Registros fiscales,Dossiers fiscaux,Registros tributários,Налоговые отчеты,Tax Records
material.data.topographicalsurveys,Topographical Surveys,Topographical Surveys,Topographische Erhebung,Estudios topográficos,Levés topographiques,Estudos topográficos,Топографические исследования,Topographical Surveys
material.data.travelpermits,Travel Permits,Travel Permits,Reiseerlaubnisse,Permisos de viaje,Autorisations de déplacement,Permissões de viagem,Разрешения на поездки,Travel Permits
material.data.troopdeploymentrecords,Troop Deployment Records,Troop Deployment Records,Truppeneinsatzprotokolle,Registros de despliegue de tropas,Comptes-rendus opérationnels,Registros de destacamento de tropas,Отчет по развертыванию войск,Troop Deployment Records
material.data.unionmembership,Union Membership,Union Membership,Gewerkschaftsmitgliedschaft,Afiliación sindical,Liste d’adhérents,Pessoal sindicalizado,Список членов союза,Union Membership
material.data.unknown,UNKNOWN,UNKNOWN,UNBEKANNT,DESCONOCIDO,INCONNU,DESCONHECIDO,НЕИЗВЕСТНЫЙ,UNKNOWN
material.data.vaccinationrecords,Vaccination Records,Vaccination Records,Aufzeichnungen zu Impfungen,Registros de vacunación,Dossiers de vaccination,Registros de vacinação,Журналы вакцинации,Vaccination Records
material.data.vaccineresearch,Vaccine Research,Vaccine Research,Impfstoffforschung,Investigación sobre vacunas,Recherches vaccinales,Pesquisas de vacinas,Исследование вакцины,Vaccine Research
material.data.vipsecuritydetail,VIP Security Detail,VIP Security Detail,VIP-Sicherheitsdienst,Información de seguridad VIP,Protection rapprochée de VIP,Detalhes de segurança VIP,Охрана высокопоставленных лиц,VIP Security Detail
material.data.virologydata,Virology Data,Virology Data,Virologische Daten,Datos virológicos,Données de virologie,Dados de virologia,Информация о вирусах,Virology Data
material.data.virus,Virus,Virus,Virus,Virus,Virus,Vírus,Вирус,Virus
material.data.visitorregister,Visitor Register,Visitor Register,Besucherliste,Registro de visitantes,Registre de visites,Registro de visitantes,Реестр посетителей,Visitor Register
material.data.weaponinventory,Weapon Inventory,Weapon Inventory,Waffeninventarliste,Inventario de armas,Inventaire d’armement,Estoque de armas,Опись оружия и боеприпасов,Weapon Inventory
material.data.weapontestdata,Weapon Test Data,Weapon Test Data,Waffentestdaten,Datos de pruebas armamentísticas,Données de test d’armes,Dados de testes de arma,Сведения об испытаниях вооружения,Weapon Test Data
material.data.xenodefenceprotocols,Xeno-Defence Protocols,Xeno-Defence Protocols,Xeno-Abwehr-Protokolle,Protocolos de xenodefensa,Protocoles anti-xénomorphes,Protocolos de defesa antixeno,Алгоритм противодействия инопланетной угрозе,Xeno-Defence Protocols
material.data.powerpreparationspyware,Power Injection Malware,,,Software malicioso de inyección de potencia,,,ПО-инъектор,Power Injection Malware
material.data.powerspyware,Power Tracker Malware,,,Software malicioso de seguimiento de potencia,,,Отслеживающее вредоносное ПО,Power Tracker Malware
material.data.powerresearchdata,Power Research Data,,,Datos de investigación de la potencia,,,Данные об исследованиях державы,Power Research Data
material.data.poweremployeedata,Power Association Data,,,Información de asociacion de potencia,,,Данные о связях державы,Power Association Data
material.data.powerfinancialrecords,Power Industrial Data,,,Datos industriales de la potencia,,,Данные о промышленности державы,Power Industrial Data
material.data.powerpropagandadata,Power Political Data,,Politische Daten der Macht,Información politica de la potencia,,,Данные о политической обстановке,Power Political Data
material.data.powerclassifieddata,Power Classified Data,,,Información clasificada de la potencia,,,Секретные данные державы,Power Classified Data
material.data.powermegashipdata,Power Megaship Data,,,Datos de meganave de potencia,,,Данные о гиганстком корабле державы,Power Megaship Data
