messageKey,,en,de,es,fr,pt,ru,zh_CN
tab.ships.details.tooltip.actual,Minimum: {0}\nEstimated: {1}\nActual: {2}\nMaximum: {3}\n,,,Mínimo: {0}\nEstimado: {1}\nActual: {2}\nMáximo: {3}\n,,Mínimo: {0}\nEstimado: {1}\nAtual: {2}\nMáximo: {3}\n,Минимум: {0}\nОжидаемо: {1}\nДействительный: {2}\nМаксимум: {3}\n,Minimum: {0}\nEstimated: {1}\nActual: {2}\nMaximum: {3}\n
tab.ships.details.tooltip.estimated,Minimum: {0}\nEstimated: {1}\nMaximum: {2}\n,,,Mínimo: {0}\nEstimado: {1}\nMáximo: {2}\n,,Mínimo: {0}\nEstimado: {1}\nMáximo: {2}\n,Минимум: {0}\nОжидаемо: {1}\nМаксимум: {2}\n,Minimum: {0}\nEstimated: {1}\nMaximum: {2}\n
module.details.engineering,Engineering,,,Ingeniería,,Engenharia,Модификация,Engineering
module.details.price,Regular Price,,,Precio normal,,Preço regular,Стандартная цена,Regular Price
module.details.buyprice,Price Purchased,,,Precio comprado,,Preço de compra,Цена покупки,Price Purchased
module.details.rebuyprice,Rebuy Price,,,Precio Recompra,,Preço de recompra,Цена выкупа,Rebuy Price
module.details.price.value,{0} Cr,,,{0} Cr,,{0} Cr,{0} Кр,{0} Cr
module.details.buyprice.value,{0} Cr,,,{0} Cr,,{0} Cr,{0} Кр,{0} Cr
module.details.rebuyprice.value,{0} Cr,,,{0} Cr,,{0} Cr,{0} Кр,{0} Cr
module.details.module.specs,Module specs,,,Caracteristicas del Módulo,,Especificações do módulo,Характеристики модуля,Module specs
ship.module.hardpoint.group.label,Group,,,Grupo,,Grupo,Группа,Group
ship.module.slot.empty,EMPTY,,,VACIO,,VAZIO,ПУСТО,EMPTY
ship.module.icon.tooltip.gimballed,Gimballed,,,Asistido,,Guiado,Карданный,Gimballed
ship.module.icon.tooltip.turreted,Turreted,,,Torreta,,Torretado,Турель,Turreted
ship.module.icon.tooltip.fixed,Fixed,,,Fijo,,Fixo,Фиксированный,Fixed
ship.module.icon.tooltip.pre.engineered,Pre-engineered,,,Pre-Diseñado,,Pré-projetado,Заводская комплектация,Pre-engineered
ship.module.icon.tooltip.arx,Arx store exclusive,,,Exclusivo de la tienda de ARX,,Exclusivo da loja Arx,Эксклюзив магазина ARX,Arx store exclusive
ship.module.icon.tooltip.advanced,Advanced,,,Avanzado,,Avançado,Продвинутый,Advanced
ship.module.icon.tooltip.enhanced,Enhanced,,,Mejorado,,Aprimorado,Улучшенный,Enhanced
ship.module.icon.tooltip.seeker,Seeker,,,Guiado,,Guiado,Самонаводящийся,Seeker
ship.module.icon.tooltip.dumbfire,Dumbfire,,,No Guiado,,Não-guiado,Обычный,Dumbfire
ship.module.icon.tooltip.legacy,Legacy,,,Legacy,,Legado,,Legacy
ship.module.icon.tooltip.powerplay,Powerplay,,,,,Powerplay,,Powerplay
ship.module.icon.tooltip.guardian,Guardian,,,Guardián,,Guardian,Стражи,Guardian
ship.module.icon.tooltip.multicrew,Multicrew,,,Multitripulación,,Multicrew,,Multicrew
ship.module.icon.tooltip.community.goal.module,Community Goal Module,,,Módulo de Logro de la Comunidad,,Módulo de meta da comunidade,Модуль ЦС,Community Goal Module
ship.module.icon.tooltip.engineered,Engineered,,,Modificado,,Projetado,Модифицированный,Engineered
ship.view.header.fighterbay,Fighter Bay,,,Bahía de Cazas,,,Ангар для истребителей,Fighter Bay
ship.view.no,No,No,Nein,No,Non,Não,Нет,No
ship.view.yes,Yes,Yes,Ja,Sí,Oui,Sim,Да,Yes
tabs.powerplay,Powerplay,,,,,,,Powerplay
ship.view.header.boostinterval,Boost interval,,,Intervalo de Postquemador,,,Интервал ускорения,Boost interval
