messageKey,,en,de,es,fr,pt,ru,zh_CN
tab.settings.notification,Enable notification sounds,Enable notification sounds,Benachrichtigungstöne aktivieren,Activar sonidos de notificación,Activer les sons de notification,Habilitar sons de notificação,Включить звуки уведомлений,Enable notification sounds
tab.settings.reading.direction,Reading Direction,Reading Direction,Leserichtung,Dirección de lectura,Direction de lecture,Direção de Leitura,Направление чтения,Reading Direction
tab.settings.solo.mode.explain,Consider unneeded engineer unlocking materials irrelevant,Consider unneeded engineer unlocking materials irrelevant,Betrachten Sie nicht benötigte Materialien zum Freischalten von Materialien als irrelevant,Considere irrelevantes los materiales de desbloqueo de ingenieros innecesarios,Considérez les matériaux de déverrouillage inutiles de l’ingénieur non pertinents,Considere materiais desnecessários de desbloqueio de engenheiros irrelevantes,"Материалы, не нужные для разблокировки инженера, будут считаться «мусорными»",Consider unneeded engineer unlocking materials irrelevant
tab.settings.solo.mode,Solo Mode,Solo Mode,Solo-Modus,Modo Solo,Mode solo,Modo Solo,Соло режим,Solo Mode
tab.settings.textsize,Text size,Text size,Textgröße,Tamaño del texto,Taille du texte,Tamanho do texto,Размер текста,Text size
tab.settings.tracking.opt.out.explain,disables tracking of material pickup locations(requires restart),disables tracking of material pickup locations(requires restart),deaktiviert die Verfolgung von Materialabholorten(requires restart),Desactiva el seguimiento de las ubicaciones de recogida de material (Requiere Reinicio),désactive le suivi des lieux de ramassage des matériaux(requires restart),desativa o rastreamento de locais de coleta de material(requires restart),Отключает отслеживание мест получения материалов(requires restart),disables tracking of material pickup locations(requires restart)
tab.settings.tracking.opt.out,Tracking opt-out,Tracking opt-out,Tracking-Deaktivierung,Exclusión de seguimiento,Désactivation du suivi,Desativação de rastreamento,Отказ от отслеживания,Tracking opt-out
tab.settings.url.scheme,Handle edomh:// links,Handle edomh:// links,Behandeln Sie edomh:// Links,Manejar enlaces edomh://,Gérer les liens edomh://,Manuseio de links edomh://,Регистрация edomh:// ссылок,Handle edomh:// links
tab.settings.url.scheme.button.register,Register application,Register application,Anwendung registrieren,Registrar aplicación,Enregistrer la demande,Registrar inscrição,Зарегистрировать приложение,Register application
tab.settings.url.scheme.button.unregister,Unregister application,Unregister application,Unregisteranwendung,Retirar Registro,Application non enregistrée,Aplicativo não registrado,Разрегистрировать приложение,Unregister application
tab.settings.url.scheme.registered,Registered,Registered,Eingetragen,Registrado,Inscrit,Registrado,Зарегистрировано,Registered
tab.settings.url.scheme.unregistered,Unregistered,Unregistered,Nicht registriert,No registrado,Non enregistré,Não registrado,Незарегистрировано,Unregistered
tab.settings.wip.explain,Show Work In Progress features,Show Work In Progress features,In Bearbeitung befindliche Funktionen anzeigen,Mostrar funciones en desarrollo,Afficher les fonctionnalités de travail en cours,Mostrar recursos de Trabalho em Andamento,"Показать новые функции, находящиеся в процессе разработки",Show Work In Progress features
tab.settings.wip,WIP visible,WIP visible,WIP sichtbar,WIP visible,WIP visible,WIP visível,WIP виден,WIP visible
tab.settings.title.overview,Overview,Overview,Überblick,Vista general,Aperçu,Visão geral,Обзор,Overview
tab.settings.title.general,General,General,Allgemein,General,Général,Em geral,Общие,General
tab.settings.title.notification,Notification,Notification,Benachrichtigung,Notificación,Notification,Notificação,Уведомления,Notification
tab.settings.title.tracking,Tracking,Tracking,Verfolgung,Seguimiento,Suivi,Rastreamento,Отслеживание,Tracking
tab.settings.wishlist.grade.rolls,Number of of rolls per grade,Number of of rolls per grade,Anzahl der Brötchen pro Klasse,Número de tiros por grado,Nombre de rouleaux par grade,Número de rolos por série,Количество попыток на одну гайку,Number of of rolls per grade
tab.settings.title.capi,Frontier API Integration,Frontier API Integration,Frontier API Integration,Integración API de Frontier,Intégration de l’API Frontier,Integração da API da Frontier,Интеграция с API Frontier,Frontier API Integration
tab.settings.capi.link.account,Link Frontier account,Link Frontier account,Link Frontier Konto,Enlazar cuenta de Frontier,Compte Frontier Link,Vincular Conta Frontier,Соединить с аккаунтом Frontier,Link Frontier account
tab.settings.capi.connected,"Account connected, data refreshes every 5 minutes. Please be aware material totals can be wrong until data is refreshed.","Account connected, data refreshes every 5 minutes. Please be aware material totals can be wrong until data is refreshed.","Konto angeschlossen, Daten werden alle 5 Minuten aktualisiert. Bitte beachten Sie, dass Materialsummen falsch sein können, bis die Daten aktualisiert sind.","Cuenta conectada, los datos se actualizan cada 5 minutos. Tenga en cuenta que los totales del material pueden ser incorrectos hasta que se actualicen los datos.","Compte connecté, les données se rafraîchissent toutes les 5 minutes. Veuillez être conscient que les totaux des matériaux peuvent être erronés jusqu’à ce que les données soient actualisées.","Conta conectada, os dados atualizam a cada 5 minutos. Esteja ciente dos totais de materiais podem estar errados até que os dados sejam atualizados.","Аккаунт подключен, данные обновляются каждые 5 минут. Пожалуйста, имейте в виду, что количество материалов может быть неверным, пока данные не будут обновлены.","Account connected, data refreshes every 5 minutes. Please be aware material totals can be wrong until data is refreshed."
tab.settings.capi.needs.registration,Please register the application to handle edomh:// links under the General settings,Please register the application to handle edomh:// links under the General settings,"Bitte registrieren Sie die Bewerbung, um edomh:// Links unter den allgemeinen Einstellungen zu verarbeiten",Registre la aplicación para manejar enlaces edomh:// bajo Ajustes generales,Veuillez enregistrer la demande pour gérer les liens edomh:// sous les paramètres généraux,Registre o aplicativo para lidar com o edomh:// Links nas configurações gerais,"Пожалуйста, зарегистрируйте приложение для обработки edomh:// ссылок в общих настройках",Please register the application to handle edomh:// links under the General settings
tab.settings.title.ar,Augmented Reality,Augmented Reality,erweiterte Realität,Realidad aumentada,Réalité augmentée,Realidade aumentada,Дополненная реальность (оверлей),Augmented Reality
tab.settings.ar.explain,This is a Windows 64-bit feature. It only works for borderless and windowed game modes. You may need to install the,This is a Windows 64-bit feature. It only works for borderless and windowed game modes. You may need to install the,Dies ist eine Windows 64-Bit-Funktion. Es funktioniert nur für grenzlose und Fensterspielmodi. Möglicherweise müssen Sie die installieren,Esta es una función de Windows de 64 bits. Solo funciona para modos de juego sin bordes y ventanas. Es posible que deba instalar,Il s’agit d’une fonction Windows 64 bits. Cela ne fonctionne que pour les modes de jeu sans bordure et fenêtrés. Vous devrez peut-être installer le,Este é um recurso Windows de 64 bits. Ele funciona apenas para modos de jogo sem fronteiras e com janelas. Pode ser necessário instalar o,Это 64-битная функция Windows. Это работает только для безграничных и оконных игровых режимов. Вам может потребоваться установить,This is a Windows 64-bit feature. It only works for borderless and windowed game modes. You may need to install the
tab.settings.ar.link,Microsoft Visual C++ Redistributable,Microsoft Visual C++ Redistributable,Microsoft Visual C++ Neuverteilbar,Microsoft Visual C++ Redistributable,Microsoft Visual C++ redistribuable,Microsoft Visual C++ Redistribuível,Microsoft Visual C++ Redistributable,Microsoft Visual C++ Redistributable
tab.settings.ar.toggle,Toggle Augmented Reality Overlay,Toggle Augmented Reality Overlay,Augmented Reality Overlay umschalten,Superposición de realidad aumentada,Basculer la superposition de réalité augmentée,Alternar sobreposição de realidade aumentada,Включение оверлея,Toggle Augmented Reality Overlay
tab.settings.ar.locale,OCR Language,OCR Language,OCR-Sprache,Lenguaje OCR,Langue OCR,Idioma OCR,Язык распознавания для оверлея,OCR Language
tab.settings.tesseract.folder.select,Select installation folder,Select installation folder,Wählen Sie den Installationsordner,Seleccione la carpeta de instalación,Sélectionnez le dossier d’installation,Selecione a pasta de instalação,Выберите директорию для установки,Select installation folder
tab.settings.tesseract.data.folder,Tesseract installation location,Tesseract installation location,Tesseract -Installationsort,Ubicación de instalación de Tesseract,Emplacement d’installation de Tesseract,Local de instalação do TESSERACT,Место установки Tesseract,Tesseract installation location
tab.settings.ar.color.irrelevant,Irrelevant color,Irrelevant color,Irrelevante Farbe,Color de irrelevante,Couleur non pertinente,Cor irrelevante,Цвет для ненужных,Irrelevant color
tab.settings.ar.color.wishlist,Wishlist color,Wishlist color,Wunschliste Farbe,Color de la lista de deseos,Couleur de la liste de souhaits,Lista de desejos da lista,Цвет для вишлиста,Wishlist color
tab.settings.ar.color.blueprint,Blueprint color,Blueprint color,Blaupause Farbe,Color de plano,Couleur du plan,Cor de planta,Цвет для используемых,Blueprint color
tab.settings.title.odyssey.materials,Odyssey Materials,Odyssey Materials,Odyssey Materialien,Materiales de Odyssey,Matériaux Odyssey,Materiais Odyssey,Материалы Odyssey,Odyssey Materials
tab.settings.poll,Polling Mode,Polling Mode,Wahlmodus,Modo de Sondedo,Mode d’interrogation,Modo de pesquisa,Режим опроса,Polling Mode
tab.settings.poll.explain,Enables periodic file polling. Enable this if the app does not automatically update. (fe. when reading journals over a network share),Enables periodic file polling. Enable this if the app does not automatically update. (fe. when reading journals over a network share),"Ermöglicht regelmäßige Umfragen von Dateien. Aktivieren Sie dies, wenn die App nicht automatisch aktualisiert wird. (Fe. Beim Lesen von Zeitschriften über eine Netzwerkfreigabe)",Habilita el sondeo periódico de archivos. Habilite esto si la aplicación no se actualiza automáticamente. (Ej. Al leer diarios a través de una red compartida),Permet un sondage de fichiers périodique. Activez ceci si l’application ne met pas automatiquement à jour. (Fe. Lors de la lecture de revues sur un partage de réseau),Ativa a pesquisa periódica de arquivos. Habilite isso se o aplicativo não atualizar automaticamente. (Fe. Ao ler os periódicos sobre um compartilhamento de rede),"Включает периодический опрос файлов. Включите это, если приложение не обновляется автоматически. (При чтении журналов по сетевой акции)",Enables periodic file polling. Enable this if the app does not automatically update. (fe. when reading journals over a network share)
settings.button.export.inventory,Export Inventory,Export Inventory,Inventar exportieren,Exportar Inventario,Inventaire d’exportation,Inventário de exportação,Экспортировать инвентарь,Export Inventory
settings.button.export.inventory.save,Save,Save,Speichern,Guardar,sauvegarder,Salvar,Сохранить,Save
blueprint.header.remaining,Remaining,Remaining,Verblieben,Restante,Restant,Em Falta,Оставшийся,Remaining
tab.settings.materials.max.range,Material trader max. distance(Ls) from star,Material trader max. distance(Ls) from star,Material Trader Max. Entfernung (LS) vom Stern,Distancia Máx. (ls) a la estrella del comerciante de materiales,Trader de matériau Max. Distance (LS) de l’étoile,Trader de materiais máx. distância (ls) da estrela,Материальный трейдер Макс. Расстояние (Св.с.) от звезды,Material trader max. distance(Ls) from star
tab.settings.title.horizons.materials,Horizons Materials,Horizons Materials,Horizons Materialien,Materiales Horizons,Horizons Matériaux,Horizons Materiais,Материалы Horizon,Horizons Materials
tab.settings.url.scheme.checking,Checking...,Checking...,Überprüfung...,Comprobando...,Vérification...,Verificando...,Проверка...,Checking...
tab.settings.ar.bartender.toggle,Bartender overlay,Bartender overlay,Barkeeper Overlay,Superposición de camarero,Superposition du barman,Sobreposição de barman,Оверлей для Бармена,Bartender overlay
tab.settings.ar.color.bartender,Bartender color,Bartender color,Barkeeper Farbe,Color de camarero,Couleur barman,Cor do barman,Цвет оверлея Бармена,Bartender color
tab.settings.ar.bartender.toggle,Bartender overlay,Bartender overlay,Barkeeper Overlay,Superposición de camarero,Superposition du barman,Sobreposição de barman,Оверлей для Бармена,Bartender overlay
tab.settings.ar.color.bartender,Bartender color,Bartender color,Barkeeper Farbe,Color de camarero,Couleur barman,Cor do barman,Цвет оверлея Бармена,Bartender color
ar.overlay.wishlist,Wishlist,Wishlist,Wunschzettel,Lista de deseos,Liste de souhaits,Lista de Desejos,Список желаемого,Wishlist
ar.overlay.irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevante,Hors du sujet,Irrelevante,Ненужный,Irrelevant
ar.overlay.blueprint,Engineer/Blueprint,Engineer/Blueprint,Ingenieur/Blaupause,Ingeniero/Plano,Ingénieur/plan,Engenheiro/Blueprint,Инженер/чертеж,Engineer/Blueprint
tab.settings.eddn.toggle,Share galaxy data with EDDN,Share galaxy data with EDDN,Teilen Sie Galaxy-Daten mit EDDN,Compartir datos de la galaxia con EDDN,Partagez les données de la galaxie avec EDDN,Compartilhe dados de galáxias com EDDN,Поделиться данными Galaxy с EDDN,Share galaxy data with EDDN
tab.settings.eddn.explain,EDDN requests you to only use one app at a time to share data to reduce server load,EDDN requests you to only use one app at a time to share data to reduce server load,"EDDN fordert Sie auf, nur eine App gleichzeitig zu verwenden, um Daten zu teilen, um die Serverlast zu reduzieren",EDDN le solicita que use solo una aplicación a la vez para compartir datos para reducir la carga del servidor,EDDN vous demande d’utiliser une seule application à la fois pour partager des données pour réduire la charge du serveur,Eddn solicita que você use apenas um aplicativo por vez para compartilhar dados para reduzir a carga do servidor,"EDDN запрашивает вас использовать только одно приложение за раз для обмена данными, чтобы уменьшить загрузку сервера",EDDN requests you to only use one app at a time to share data to reduce server load
tab.settings.broker.max.range,Technology Broker max. distance(Ls) from star,Technology Broker max. distance(Ls) from star,,Distancia máx. (ls) a la estrella del bróker de tecnología,,Distância máxima do mediador de technologia (sL) da Estrela,Техноброкер макс. расстояние(св.с.) от звезды,Technology Broker max. distance(Ls) from star
tab.settings.title.wishlist.horizons,Horizons Wishlist,Horizons Wishlist,Horizons Wunschliste,Lista de deseos de Horizons,Liste de souhaits Horizons,Lista de desejos Horizons,Cписок желаемого Horizons,Horizons Wishlist
tab.settings.title.wishlist.odyssey,Odyssey Wishlist,Odyssey Wishlist,,Lista de deseos de Odyssey,,Lista de Desejos Odissey,Odyssey список желаемого,Odyssey Wishlist
tab.settings.flip.remaining.available.horizons,Show remaining,Show remaining,,Mostrar restantes,,Mostrar em Falta,Показать оставшееся,Show remaining
tab.settings.flip.remaining.available.horizons.explain,Enabling this will show remaining values instead of available values for the required materials,Enabling this will show remaining values instead of available values for the required materials,,Habilitar este mostrara los valores restantes en vez de los necesarios para los materiales requeridos,,Habilitar isso mostrará a quantidade faltante em vez da quantidade disponível para os materiais necessários,"При включении этой опции будет показываться оставшееся количество требуемых материалов, вместо количества имеющихся материалов",Enabling this will show remaining values instead of available values for the required materials
tab.settings.flip.remaining.available.odyssey,Show remaining,Show remaining,,Mostrar restantes,,Mostrar em Falta,Показать оставшееся,Show remaining
tab.settings.flip.remaining.available.odyssey.explain,Enabling this will show remaining values instead of available values for the required materials,Enabling this will show remaining values instead of available values for the required materials,,Habilitar este mostrara los valores restantes en vez de los necesarios para los materiales requeridos,,Habilitar isso mostrará a quantidade faltante em vez da quantidade disponível para os materiais necessários,"При включении этой опции будет показываться оставшееся количество требуемых материалов, вместо количества имеющихся материалов",Enabling this will show remaining values instead of available values for the required materials
tab.settings.blueprint.expanded,Tooltip blueprint expanded,,,Consejo detallado del plano,,Dica de Ferramenta de Projeto Expandido,Раскрытые списки рецептов в карточке материала,Tooltip blueprint expanded
tab.settings.blueprint.expanded.explain,Whether or not blueprints panels are expanded or collapsed in material tooltips,,,Si los consejos para los materiales estarán expandidos o retraidos en el panel de planos,,Painéis de projetos são expandidos ou recolhidos nas dicas de ferramentas do material,Список рецептов в карточке материала будет по умолчанию свернут или раскрыт,Whether or not blueprints panels are expanded or collapsed in material tooltips
tab.settings.capi.connect,Connect CMDR {0},Connect CMDR {0},Verbinden CMDR {0},Conectar CMDT {0},Relier CMDR {0},Conectar CMDR {0},Соединить CMDR {0},Connect CMDR {0}
tab.settings.capi.disconnect,Disconnect CMDR {0},Disconnect CMDR {0},Trennen CMDR {0},Desconectar CMDT {0},Débrancher CMDR {0},Desconectar CMDR {0},Отсоединить CMDR {0},Disconnect CMDR {0}
tab.settings.title.ships.horizons,Ships - Legacy modules,,,Naves,,Naves - Módulos Legacy,Корабли - модули Legacy,Ships - Legacy modules
tab.settings.ships.new.module,New module from,,,Nuevo módulo desde,,Novo Módulo,Новый модуль из,New module from
tab.settings.ships.new.module.create,Create,,,Crear,,Criar,Создать,Create
tab.settings.ships.legacy.modules,Legacy modules,,,Módulos Legacy,,Módulos Legacy,Модули Legacy,Legacy modules
tab.settings.ships.legacy.modules.remove,Remove,,,Eliminar,,Remover,Удалить,Remove
tab.settings.ships.legacy.modules.edit,Edit,,,Editar,,Editar,Изменить,Edit
tab.settings.ships.legacy.modules.save,Save,,,Guardar,,Salvar,Сохранить,Save
settings.button.import.clipboard,Import from clipboard,Import from clipboard,Importieren aus der Zwischenablage,Importar desde el portapapeles,Importer depuis le presse-papiers,Importar da área de transferência,Импортировать из буфера обмена,Import from clipboard
settings.button.import.clipboard.explain,Import an edomh:// url from the clipboard. You can also use CTRL+V to paste the url.,Import an edomh:// url from the clipboard. You can also use CTRL+V to paste the url.,"Importieren Sie eine edomh:// URL aus der Zwischenablage. Sie können auch STRG+V verwenden, um die URL einzufügen.",Importe una URL edomh:// del portapapeles. También puede usar CTRL+V para pegar la URL.,Importez une URL edomh:// depuis le presse-papiers. Vous pouvez également utiliser CTRL+V pour coller l’URL.,Importe link edomh:// da área de transferência. Você também pode usar CTRL+V para colar a URL.,Импортируйте URL edomh:// из буфера обмена. Вы также можете использовать CTRL+V для вставки URL.,Import an edomh:// url from the clipboard. You can also use CTRL+V to paste the url.
settings.button.import.clipboard.import,Import,Import,Importieren,Importar,Importer,Importar,Импортировать,Import
settings.button.import.clipboard.slef,,,,,,,,
settings.button.import.clipboard.slef.explain,Import SLEF from the clipboard.,Import SLEF from the clipboard.,Importieren Sie SLEF aus der Zwischenablage.,Importar SLEF desde el portapapeles.,Importer SLEF depuis le presse-papiers.,Importar SLEF da área de transferência.,Импортировать SLEF из буфера обмена.,Import SLEF from the clipboard.
settings.button.import.clipboard.import.slef,Import SLEF,Import SLEF,Import SLEF,Importar SLEF,Importer SLEF,Importar SLEF,Импортировать SLEF,Import SLEF
tab.settings.notification.test,Test,Test,Test,Prueba,Test,Teste,Тест,Test
tab.settings.notification.screen,Screen,Screen,Screen,Pantalla,Écran,Tela,Экран,Screen
settings.button.support.package,Support package,,,Paquete de soporte,,Pacote de Suporte,Пакет поддержки,Support package
settings.button.support.package.create,Create,,,Crear,,Criar,Создать,Create
settings.button.support.package.explain,Creates a support package for the developer to assist in reproducing issues,,,Crea un paquete de soporte para ayudar al desarrollador a reproducir errores.,,Crie um pacote de suporte para auxiliar o desenvolvedor na reprodução de problemas,"Создает пакет поддержки для разработчика, чтобы помочь в воспроизведении проблем",Creates a support package for the developer to assist in reproducing issues
tab.settings.ar.bartender.toggle.explain,NOTE: Disabling the blur graphics setting ingame to remove transparent backgound at the bartender helps with the detection,,,NOTA: Deshabilitar el desenfoque en las opciones gráficas del juego para remover el fondo transparente tras el camarero ayuda a la detección,,,"ПРИМЕЧАНИЕ: Отключение настройки размытия графики в игре для удаления прозрачного фона у бармена помогает с обнаружением",NOTE: Disabling the blur graphics setting ingame to remove transparent backgound at the bartender helps with the detection
tab.settings.ar.color.powerplay,Powerplay color,,,Color Powerplay,,,Цвет для Powerplay,Powerplay color
ar.overlay.powerplay,Powerplay,,,,,,,Powerplay
tab.settings.capi.explain,Retrieves API data like fleetcarrier stock and orders on a 5 minute interval. Make sure you login with the same commander you selected in the bottom right corner. You will need to reauthenticate on a monthly basis.,,,Recupera Datos de API como las existencias del Portanaves y ordenes en un intervalo de 5 minutos. Asegúrese de iniciar sesión con el mismo comandante seleccionado en la esquina inferior derecha. Deberás reautenticar mensualmente.,,,,Retrieves API data like fleetcarrier stock and orders on a 5 minute interval. Make sure you login with the same commander you selected in the bottom right corner. You will need to reauthenticate on a monthly basis.
